Station ID,Station Name Chinese,Station Name English,Duplicate IDS,Station Names missing,Latitude,Longitude,Lines
622,灵岩南路,South Lingyan Road,,South Lingyan Road,31.148761,121.495078,6
1324,祁连山南路,South Qilianshan Road,,South Qilianshan Road,31.237803,121.367337,13
121,陕西南路,South Shaanxi Road,121|1052,South Shaanxi Road,31.214996,121.458265,1|10
1052,陕西南路,South Shaanxi Road,121|1052,South Shaanxi Road,31.214996,121.458265,1|10
645,外高桥保税区南站,South Waigaoqiao Free Trade Zone,,South Waigaoqiao Free Trade Zone,31.321589,121.601988,6
422,西藏南路,South Xizang Road,422|831,South Xizang Road,31.201968,121.489568,4|8
831,西藏南路,South Xizang Road,422|831,South Xizang Road,31.201968,121.489568,4|8
749,杨高南路,South Yanggao Road,,South Yanggao Road,31.187572,121.525107,7
420,塘桥,Tangqiao,,Tangqiao,31.209794,121.518635,4
256,唐镇,Tangzhen,,Tangzhen,31.213156,121.655579,2
1138,桃浦新村,Taopu Xincun,,Taopu Xincun,31.281607,121.349624,11
1057,天潼路,Tiantong Road,1057|1237,Tiantong Road,31.243904,121.482451,10
1237,天潼路,Tiantong Road,1057|1237,Tiantong Road,31.243904,121.482451,10
338,铁力路,Tieli Road,,Tieli Road,31.408032,121.462336,3
1239,提篮桥,Tilan Qiao,,,31.253596,121.506629,12
133,通河新村,Tonghe Xincun,,Tonghe Xincun,31.331253,121.441483,1
1062,同济大学,Tongji University,,Tongji University,31.282169,121.506343,10
112,外环路,Waihuanlu,,Waihuanlu,31.12059,121.392774,1
239,威宁路,Weining Road,,Weining Road,31.214944,121.386927,2
512,文井路,Wenjing Road,,Wenjing Road,31.003478,121.380743,5
130,汶水路,Wenshui Road,,Wenshui Road,31.292616,121.450235,1
627,高科西路,West Gaoke Road,627|748,West Gaoke Road,31.185745,121.509791,6|7
748,高科西路,West Gaoke Road,627|748,West Gaoke Road,31.185745,121.509791,6|7
624,华夏西路,West Huaxia Road,,West Huaxia Road,31.149855,121.514519,6
1132,嘉定西,West Jiading,,West Jiading,31.377084,121.227868,11
1322,金沙江西路,West Jinshajiang Road,,West Jinshajiang Road,31.241136,121.335176,13
244,南京西路,West Nanjing Road,,West Nanjing Road,31.229755,121.459726,2
1142,上海西站,West Shanghai Railway Station,,West Shanghai Railway Station,31.262285,121.403712,11
317,延安西路,West Yan'an Road,317|404,West Yan'an Road,31.209598,121.41707,3|4
404,延安西路,West Yan'an Road,317|404,West Yan'an Road,31.209598,121.41707,3|4
330,殷高西路,West Yingao Road,,West Yingao Road,31.319967,121.484962,3
137,友谊西路,West Youyi Road,,West Youyi Road,31.380989,121.42804,1
1628,野生动物园,Wild Animal Park,,,31.0497,121.709389,16
1064,五角场,Wujiaochang,,Wujiaochang,31.297805,121.514507,10
640,五莲路,Wulian Road,,Wulian Road,31.272087,121.587994,6
1329,武宁路,Wuning Road,,,31.233646,121.429828,13
1139,武威路,Wuwei Road,,Wuwei Road,31.276641,121.364674,11
643,五洲大道,Wuzhou Avenue,,Wuzhou Avenue,31.302584,121.589325,6
